time,evspsbl
2046-01-01 12:00:00,1.9134954e-05
2046-01-02 12:00:00,9.762647e-06
2046-01-03 12:00:00,2.4284967e-05
2046-01-04 12:00:00,1.1637356e-05
2046-01-05 12:00:00,1.3257914e-05
2046-01-06 12:00:00,3.0136827e-05
2046-01-07 12:00:00,1.7949482e-05
2046-01-08 12:00:00,2.0492022e-05
2046-01-09 12:00:00,7.3440888e-06
2046-01-10 12:00:00,3.3522785e-05
2046-01-11 12:00:00,2.9242856e-05
2046-01-12 12:00:00,3.799502e-05
2046-01-13 12:00:00,2.2507345e-05
2046-01-14 12:00:00,2.1541433e-05
2046-01-15 12:00:00,2.3474262e-05
2046-01-16 12:00:00,2.813604e-05
2046-01-17 12:00:00,2.3195427e-05
2046-01-18 12:00:00,2.230164e-05
2046-01-19 12:00:00,3.3347325e-05
2046-01-20 12:00:00,3.107679e-05
2046-01-21 12:00:00,2.442018e-05
2046-01-22 12:00:00,9.626514e-06
2046-01-23 12:00:00,1.6769696e-05
2046-01-24 12:00:00,2.212977e-05
2046-01-25 12:00:00,1.2123315e-05
2046-01-26 12:00:00,6.1467144e-06
2046-01-27 12:00:00,2.4914756e-05
2046-01-28 12:00:00,2.1649816e-05
2046-01-29 12:00:00,2.159481e-05
2046-01-30 12:00:00,1.4975806e-05
2046-01-31 12:00:00,1.7123773e-05
2046-02-01 12:00:00,7.61915e-06
2046-02-02 12:00:00,1.0755782e-05
2046-02-03 12:00:00,5.122657e-06
2046-02-04 12:00:00,4.1972644e-06
2046-02-05 12:00:00,4.5863544e-06
2046-02-06 12:00:00,6.5374043e-06
2046-02-07 12:00:00,1.3261687e-05
2046-02-08 12:00:00,1.415943e-05
2046-02-09 12:00:00,1.3465516e-05
2046-02-10 12:00:00,1.6461388e-05
2046-02-11 12:00:00,1.239749e-05
2046-02-12 12:00:00,1.4068597e-05
2046-02-13 12:00:00,1.4462348e-05
2046-02-14 12:00:00,2.1758708e-05
2046-02-15 12:00:00,8.018207e-06
2046-02-16 12:00:00,6.99237e-06
2046-02-17 12:00:00,3.3748947e-06
2046-02-18 12:00:00,6.752831e-06
2046-02-19 12:00:00,7.632785e-06
2046-02-20 12:00:00,6.7754545e-06
2046-02-21 12:00:00,7.102717e-06
2046-02-22 12:00:00,5.766691e-06
2046-02-23 12:00:00,4.6492933e-06
2046-02-24 12:00:00,8.201646e-06
2046-02-25 12:00:00,1.1067475e-05
2046-02-26 12:00:00,2.1011067e-05
2046-02-27 12:00:00,9.239614e-06
2046-02-28 12:00:00,3.167821e-06
2046-03-01 12:00:00,2.3475284e-05
2046-03-02 12:00:00,1.4213161e-05
2046-03-03 12:00:00,1.6370293e-05
2046-03-04 12:00:00,1.822348e-05
2046-03-05 12:00:00,1.1388948e-05
2046-03-06 12:00:00,1.6522405e-05
2046-03-07 12:00:00,1.0672098e-05
2046-03-08 12:00:00,3.7157733e-06
2046-03-09 12:00:00,3.9541774e-06
2046-03-10 12:00:00,2.56139e-06
2046-03-11 12:00:00,7.116265e-06
2046-03-12 12:00:00,1.3161742e-05
2046-03-13 12:00:00,9.416603e-06
2046-03-14 12:00:00,6.098674e-06
2046-03-15 12:00:00,5.061548e-06
2046-03-16 12:00:00,1.0312546e-05
2046-03-17 12:00:00,1.2649718e-05
2046-03-18 12:00:00,1.4435036e-05
2046-03-19 12:00:00,9.624797e-06
2046-03-20 12:00:00,1.5517391e-05
2046-03-21 12:00:00,1.3843703e-05
2046-03-22 12:00:00,1.03912025e-05
2046-03-23 12:00:00,6.122209e-06
2046-03-24 12:00:00,1.0170304e-05
2046-03-25 12:00:00,9.736817e-06
2046-03-26 12:00:00,1.4681806e-05
2046-03-27 12:00:00,2.0358377e-05
2046-03-28 12:00:00,1.9777377e-05
2046-03-29 12:00:00,2.6676775e-05
2046-03-30 12:00:00,3.236653e-05
2046-03-31 12:00:00,2.3662971e-05
2046-04-01 12:00:00,1.9136263e-05
2046-04-02 12:00:00,1.6127646e-05
2046-04-03 12:00:00,1.6947464e-05
2046-04-04 12:00:00,1.3871375e-05
2046-04-05 12:00:00,1.2666462e-05
2046-04-06 12:00:00,1.2399891e-05
2046-04-07 12:00:00,6.5909226e-06
2046-04-08 12:00:00,9.819873e-06
2046-04-09 12:00:00,1.0280675e-05
2046-04-10 12:00:00,1.851729e-05
2046-04-11 12:00:00,2.3163291e-05
2046-04-12 12:00:00,2.2546228e-05
2046-04-13 12:00:00,1.848492e-05
2046-04-14 12:00:00,2.031251e-05
2046-04-15 12:00:00,1.5962389e-05
2046-04-16 12:00:00,1.5482801e-05
2046-04-17 12:00:00,1.2818433e-05
2046-04-18 12:00:00,1.6583852e-05
2046-04-19 12:00:00,1.1753786e-05
2046-04-20 12:00:00,2.2137028e-05
2046-04-21 12:00:00,1.0892614e-05
2046-04-22 12:00:00,1.03139755e-05
2046-04-23 12:00:00,1.7525688e-05
2046-04-24 12:00:00,3.568097e-05
2046-04-25 12:00:00,4.5652414e-05
2046-04-26 12:00:00,3.709503e-05
2046-04-27 12:00:00,2.1831918e-05
2046-04-28 12:00:00,2.8844195e-05
2046-04-29 12:00:00,2.9118804e-05
2046-04-30 12:00:00,3.579236e-05
2046-05-01 12:00:00,3.2050717e-05
2046-05-02 12:00:00,1.7544575e-05
2046-05-03 12:00:00,1.16229285e-05
